n (doubles),tempo (s),taxa (MB/s)
1,9.200000e-05,0.17
2,1.800000e-05,1.70
4,1.500000e-05,4.07
8,1.600000e-05,7.63
16,1.400000e-05,17.44
32,3.800000e-05,12.85
64,2.300000e-05,42.46
128,1.780000e-04,10.97
256,2.400000e-05,162.76
512,1.500000e-04,52.08
1024,1.440000e-04,108.51
2048,1.460000e-04,214.04
4096,1.820000e-04,343.41
8192,3.990000e-04,313.28
16384,7.110000e-04,351.62
32768,2.710000e-04,1845.02
65536,4.440000e-04,2252.25
131072,8.050000e-04,2484.47
262144,1.586000e-03,2522.07
524288,2.996000e-03,2670.23
